country_num	wevent	wpart_all	lpopw_part_all	duration	election_number	pm_t_vote	pm_t1_vote	day_t1	month_t1	year_t1	day_t	month_t	year_t	imf	bailout	crisis_election	east	coalition_government	unemployment_change	debt_change	gdp_change	swing	switzerland	pm_vote_change	country_iso	react_wevent	react_lpopw_part_all
3	55.0	280325.0	94701.35435342789	48.0	1	31.0	17.8	14	7	2009	11	7	2005	1	1	1	1	0	-3.7	-12.9	50.21113	13.85	0	-13.2	"BG"	47.0	15138.703
3	47.0	44812.0	15138.70357081294	46.0	2	39.9	30.5	12	5	2013	14	7	2009	0	0	1	1	1	7.4	4.3	14.33467	39.9	0	-9.400002	"BG"	3.0	692.2075
3	3.0	2049.0	692.2075157165527	17.0	3	26.6	15.4	5	10	2014	12	5	2013	0	0	1	1	1	-2.4	9.9	2.002061472	8.8	0	-11.2	"BG"		
4	41.0	114215.0	36511.04136887193	46.0	-1	38.4	31.7	19	10	2003	24	10	1999	0	0	0	0	0	1.2	3.6	15.34998	7.180004	1	-6.7	"CH"	9.0	898.27106
4	9.0	2810.0	898.2710380554199	48.0	0	31.7	30.2	21	10	2007	19	10	2003	0	0	0	0	0	-0.5	-9.9	11.14783	0.8700008	1	-1.5	"CH"	13.0	4658.862
4	13.0	14574.0	4658.862020730972	48.0	1	30.2	27.5	23	10	2011	21	10	2007	0	0	1	0	0	0.6	-2.9	44.18846	-3.060189	1	-2.7	"CH"	11.0	94705.26
4	11.0	296260.0	94705.2595565319	48.0	2	27.4	28.0	18	10	2015	23	10	2011	0	0	1	0	1	0.7	1.3	5.409647145	-4.3	1	0.6	"CH"		
5	10.0	99875.0	84473.63383483887	17.0	-1	34.5	34.0	27	5	2001	26	5	1996	0	0	0	0	0	0.9	9.4	46.79155	-1.299999	0	-0.5	"CY"	17.0	39109.496
5	17.0	46240.0	39109.496322631836	60.0	0	14.84	17.9	21	5	2006	27	5	2001	0	0	0	0	0	2.1	8.2	36.85679	-1.59	0	3.059999	"CY"	6.0	7848.965
5	6.0	9280.0	7848.964782714844	60.0	1	31.1	32.7	22	5	2011	21	5	2006	0	0	1	0	0	1.6	2.1	21.8636	-3.609999	0	1.6	"CY"		
